´Žèurl,pick,team,year,player,pos,pos_cat,college,weight,weight_normalized,height_inches,height_normalized,forty,forty_normalized,vertical,vertical_normalized,bench,bench_normalized,broad,broad_normalized,threecone,threecone_normalized,shuttle,shuttle_normalized,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons,num_missing_vals
https://www.sports-reference.com/cfb/players/jamel-hamler-1.html,300,Not Drafted,2011,Jamel Hamler,WR,WR,Fresno State,193,4.3530333,73,6.538461538,4.59,4.222890398,32,3.842105263,4,1,112,3.397038326,7.16,4.10619469,4.18,6.53125,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,1395,96,1,0,-1,97,11,1394,3,0
https://www.sports-reference.com/cfb/players/jamel-smith-1.html,300,Not Drafted,2000,Jamel Smith,ILB,LB,Virginia Tech,245,5.86000972,72,4,5.18,1,29.5,3.571428571,NA,NA,108,3.057142857,7.51,3.363844394,4.58,2.663043478,0,0,0,0,0,11,2,1,98,0.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.sports-reference.com/cfb/players/jamell-fleming-1.html,80,Arizona Cardinals,2012,Jamell Fleming,CB,CB,Oklahoma,206,7.452830189,71,5,4.43,7.126322091,34,3.8125,23,8.56,125,5.935499792,6.71,6.827868852,3.97,7.670314155,50,0,0,1,56,51,7,1,82,12.5,0,1,4,118.0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/james-anderson-1.html,88,Carolina Panthers,2006,James Anderson,OLB,LB,Virginia Tech,229,2.98000396,75,7,4.59,7.374635366,41,9.485714286,NA,NA,121,6.4,6.67,9.771167048,4.07,7.652173913,41,0,0,0,0,26,3,1,53,8.5,0,3,2,41.0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.sports-reference.com/cfb/players/james-blair-1.html,300,Not Drafted,2008,James Blair,OG,OL,Western Michigan,323,6.513516654,75,3.7,5.28,5.332901195,23.5,3.189189189,28,6.343766699,103,5.950010125,8.44,2.354961142,5.33,1.074256188,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/james-boyd-1.html,94,Jacksonville Jaguars,2001,James Boyd,S,S,Penn State,207,5.153854142,71,4,4.59,5.178571429,32.5,3.436837767,NA,NA,117,4.093759668,7.29,4.366412214,4.24,5.447752615,0,0,0,1,6,24,6,0,24,0.0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.sports-reference.com/cfb/players/james-bradberry-1.html,62,Carolina Panthers,2016,James Bradberry,CB,CB,Samford,211,8.301886792,73,7,4.5,5.869088006,36,4.9375,16,6.04,124,5.645176275,6.91,5.352459016,4.21,5.128838687,0,0,0,0,0,1,0,0,0,0.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/james-butler-1.html,300,Not Drafted,2005,James Butler,S,S,Georgia Tech,213,6.192317678,74,7,4.51,6.464285714,40.5,7.768993797,16,4.558890856,127,6.906268457,7.1,5.671755725,3.98,8.137716979,0,0,0,0,0,25,7,0,26,0.0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/james-carpenter-1.html,25,Seattle Seahawks,2011,James Carpenter,OT,OL,Alabama,321,6.351354638,76,4.6,5.22,5.832947495,NA,NA,23,4.937512305,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
https://www.sports-reference.com/cfb/players/james-casey-1.html,152,Houston Texans,2009,James Casey,FB,RB,Rice,246,7.212389381,75,9.1,4.69,4.807026542,36,6.4,28,7.900023,111,3.675675676,7,6.666419735,4.48,4.233009709,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,1914,157,102,11,362,259,28,2276,2,0
https://www.sports-reference.com/cfb/players/james-conner-1.html,105,Pittsburgh Steelers,2017,James Conner,RB,RB,Pittsburgh,233,6.17699115,73,7.3,4.65,5.268624183,29,2.8,20,5.500015,113,4.162162162,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,39,4,412,30,668,52,3733,698,56,4145,4,0,0,0,0,0,0,0,0,0,0,0,2
https://www.sports-reference.com/cfb/players/james-daniels-1.html,39,Chicago Bears,2018,James Daniels,C,OL,Iowa,306,5.135139518,75,3.7,NA,NA,30.5,6.594594595,21,4.375010547,108,7.075007312,7.29,8.590276523,4.4,8.049837486,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.sports-reference.com/cfb/players/james-davis-1.html,195,Cleveland Browns,2009,James Davis,RB,RB,Clemson,218,4.982300885,71,5.5,4.45,7.576612386,32,4.342857143,17,4.600012,109,3.189189189,7.15,5.666345655,4.37,5.194174757,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,50,2,441,51,753,47,3881,804,49,4322,4,0,0,0,0,0,0,0,0,0,0,0,0
